title,genre,year,netflix
위 스피크 댄스: 세계의 춤을 찾아,드라마,2018,"춤으로 말하는 댄서, 반다나 하트. 세계 곳곳을 돌며 각지의 과거와 현재를 대표하는 춤을 만나보고, 최고 전문가들에게 한 수 배운다. 어느 지역의 어떤 춤이 우릴 기다릴까?"
사랑｡ 돌아오다,드라마,2011,수상: 5 nominations.
워터십 다운의 열한 마리 토끼,드라마 NETFLIX ORIGINAL,2018,수상: 1 win & 4 nominations.
검은 전사들,드라마 NETFLIX ORIGINAL,2018,친구를 잃은 퇴역 군인과 남편을 잃은 현직 경찰. 이들이 함께 오토바이 갱단을 소탕하러 나선다. 목숨을 건 또 하나의 전쟁. 둘은 죄책감과 상실감에서 벗어날 수 있을까.
롤라 앤 첼시,드라마 NETFLIX ORIGINAL,2018,수상: Nominated for 2 Oscars. Another 4 wins & 20 nominations.
원더러스트,드라마 NETFLIX ORIGINAL,2018,"결혼 생활엔 문제없지만, 성생활에 위기를 느낀 부부. 둘이서 노력해봐야 별 소용이 없다. 이대로는 안 되겠어! 묘안을 낸 그들은 각자 다른 이성과 만나보기로 합의한다."
왁푸: 6명의 도푸스 일리아트로프의 모험,드라마,2014,"퀼비를 물리치고 6년 후, 아말리아의 왕국은 오그레스트의 눈물로 홍수에 잠겨버린다. 그를 멈추려면 엘리아트로프의 잃어버린 도푸스 여섯 개를 찾아내야 한다."
왁푸,드라마 NETFLIX ORIGINAL,2017,"놀랍다, 이 아이. 엄청난 에너지가 있어! 작은 마을의 평범한 소년 유고, 신비한 능력을 발견하면서 비범한 모험을 시작하다. 왁푸의 비밀을 밝히고 진짜 가족도 찾으러 출발!"
마취폭풍,드라마,2017,"수술 도중 발생한 환자 사망 사고. 책임을 떠안고 징계를 받게 된 이는 마취과 전문의. 뭔가 석연치 않은 상황, 진상을 파헤칠수록 병원의 추악한 비리가 점점 드러난다."
밥 & 데이비드,드라마 NETFLIX ORIGINAL,2015,네이비 실로부터 불명예 제대한 밥과 데이비드가 다시 돌아와 자신들이 제일 잘하는 방법으로 나라를 위해 일한다. 바로 스케치 코미디를 만드는 것.
부릉! 부릉! 브루미즈,드라마,2016,날마다 즐거움과 모험이 가득한 지피시티. 이곳엔 어려운 일이 생길 때마다 함께 머리를 맞대어 기발한 방법으로 문제를 해결하는 멋진 동물 자동차 친구들이 있어요!
바이올렛 에버가든,드라마 NETFLIX ORIGINAL,2018,"전쟁이 끝나자, 인간 병기로 키워진 바이올렛이 세상에 나온다. 그녀가 택한 새 삶은, 사람의 마음을 대신 전하는 것. 그것이 그녀가 살아갈 이유가 된다."
바이킹스,드라마,2017,수상: Nominated for 13 Primetime Emmys. Another 32 wins & 97 nominations.
벡스트,드라마,2012,게으르지만 매력적인 경찰 잭 암스트롱과 의욕 넘치고 똑똑한 경할 케이트 비숍이 서로에게 맞춰가며 함께 사건을 해결해 나간다.
베르사유,드라마,2018,수상: 1 win & 4 nominations.
벨벳 컬렉션,드라마,2017,수상: 5 nominations.
벨벳,드라마,2016,수상: 6 wins & 17 nominations.
반 헬싱,드라마 NETFLIX ORIGINAL,2017,수상: 3 wins & 21 nominations.
거침없이 아니타!,드라마 NETFLIX ORIGINAL,2018,"자국을 넘어 세계에서 인정받는 브라질 가수 아니타. 섹시하고 에너지 넘치는 그녀, 무대 뒤의 모습은 어떨까. 친구와 가족, 동료들이 말하는 그녀의 진면목을 공개한다."
원점 수사,드라마 NETFLIX ORIGINAL,2018,수상: 4 nominations.
언더 더 돔,드라마,2015,수상: 1 win & 12 nominations.
검은 달빛 아래서,드라마,2016,대학 미술 동아리에 신입 멤버가 들어온다. 죽음의 냄새를 맡는 은밀한 능력의 소유자인 그는 한 여자 멤버에게 남자친구와 헤어지라고 경고한다.
언브레이커블 키미슈미트,드라마 NETFLIX ORIGINAL,2019,수상: Nominated for 18 Primetime Emmys. Another 17 wins & 68 nominations.
갈리시아의 상속자들,드라마 NETFLIX ORIGINAL,2018,수상: 2 nominations.
울트라 바이올렛,드라마 NETFLIX ORIGINAL,2017,수상: 1 win & 2 nominations.
트루: 멋진 소원,드라마 NETFLIX ORIGINAL,2018,"도움이 필요할 때면 불러볼까요, 트루와 바틀비! 아무리 높은 산도, 아무리 깊은 바다도, 우정을 위해 달려간답니다. 친구들과 함께라면 못할 일이 없는, 우리는 천하무적!"
트루: 마법 친구들,드라마 NETFLIX ORIGINAL,2018,"하루도 조용할 날 없는 무지개 왕국. 하지만 트루와 바틀비가 함께한다면 걱정 없어요. 친구들과 힘을 모아, 어떤 문제든 척척! 트루와 친구들, 언제라도 불러만 주세요!"
트루와 무지개 왕국,드라마 NETFLIX ORIGINAL,2017,무지개 왕국에 문제가 생겼나요? 트루와 바틀비를 불러보세요! 마음 따뜻한 트루와 단짝 바틀비가 친구들의 하루를 책임집니다. 소원도 있다고요? 말씀만 하세요.
트로이: 왕국의 몰락,드라마 NETFLIX ORIGINAL,2018,수상: 1 win.
트로츠키,드라마,2017,"누군가에게는 영웅이었고, 다른 누군가에게는 악인이었다. 러시아 혁명을 이끈 논란의 인물 레온 트로츠키. 정치판 입문부터 스탈린과의 악연까지, 그의 생애와 사상을 생생하게 담았다. 격동의 시기, 혁명 그 자체가 된 남자의 이야기."
트롤헌터: 아카디아의 전설,드라마 NETFLIX ORIGINAL,2017,수상: 18 wins & 25 nominations.
꼬마 탐정 토비 & 테리,드라마,2018,"숲속 친구들에게 도움이 필요하다고요? 꼬마 탐정단 토비와 테리를 불러봐요. 단서를 찾고 추리를 하면, 아무리 어려운 사건도 척척! 우리는 명탐정 남매랍니다!"
비밀을 삼킨 세계 보물,드라마,2012,"누구나 한 번쯤 들어본 고대 유물. 진위 논란이 끊이지 않는 토리노의 수의부터 빈랜드 지도, 스핑크스까지 그 비밀의 실타래를 과학과 역사를 바탕으로 한 가닥씩 풀어본다."
시간여행자,드라마 NETFLIX ORIGINAL,2018,수상: 4 wins & 13 nominations.
트랩트,드라마,2015,혹독한 눈보라로 외부 세계와 단절된 아이슬란드의 한 마을에서 살해당한 시신 한 구가 발견된다.
