title,genre,year,netflix
그들에 관한 진실,영화,2016,치료사와의 상담 시간에 이반은 반유대주의에 관해 이야기하며 현대 프랑스에서 유대인으로 살아가는 소회를 털어놓는다.
테오 본: 악의는 없어요,영화 NETFLIX ORIGINAL,2016,"미국 남부 출신의 코미디언 테오 본이 데이트 실수담, 브래드 피트와의 만남, 도망간 침팬지 추격 비화를 그만의 삐딱한 입담으로 선보인다."
"좋아해, 너를",영화,2015,"수제 구두 가게에서 일하는 남자. 트라우마 때문에 타인과의 소통을 차단하지 오래. 그런 그가 어떤 이의 구두를 맡게 되면서 애정 문제의 한가운데에 서는데. 좋아한다는 건 무엇일까. 그 다양한 색깔의 감정, 당신에게 사랑은 무엇입니까."
희망의 키친,영화,2016,수상: 1 win & 1 nomination.
협객 소걸아,영화,1985,"방탕한 행실 때문에 아버지의 눈 밖에 난 청년. 어느 날 학교에서 우연히 비상한 능력의 소유자를 발견한다. 간청 끝에 은둔 고수의 제자가 되어 가르침을 받던 중, 스승에게 비극이 닥치고 마는데. 이제 스승의 원수는 내가 갚겠노라!"
코카인 삼만리,영화,2016,수상: 11 wins & 10 nominations.
사랑을 위한 여행,영화,2008,이 로맨틱한 장거리 자동차 여행 드라마 영화에서 최근 감옥에서 출소한 전과자는 아내를 만나러 집으로 가는 길에 젊은 커플과 친해진다.
세상의 끝,영화,2016,수상: 4 nominations.
세상을 가져라,영화 NETFLIX ORIGINAL,2018,수상: 1 win & 5 nominations.
The Woodsman and the Rain,영화,2012,수상: 4 wins & 2 nominations.
우먼 인 블랙 : 죽음의 천사,영화,2014,수상: 2 wins & 2 nominations.
울프맨,영화,2010,수상: Won 1 Oscar. Another 3 wins & 8 nominations.
더 위치,영화,2015,수상: 43 wins & 67 nominations.
소망 나무,영화,2017,수상: 1 win & 1 nomination.
악인은 살아 있다,영화,2015,"절벽 아래에서 끔찍한 시신으로 발견된 아내. 석연치 않은 아내의 죽음, 그 뒤에 숨은 자를 응징하기 위한 남편의 복수가 시작된다. 모든 것을 걸고 처절히 갚아주리라."
나인 야드,영화,2000,수상: 5 nominations.
화이트 헬멧: 시리아 민방위대,영화 NETFLIX ORIGINAL,2016,수상: Won 1 Oscar. Another 2 wins & 4 nominations.
정승필 실종사건,영화,2009,"수백억을 주무르는 자산관리사가 사라졌다! 처음에는 약혼녀가 유력 용의자로 지목되지만, 수사를 하면 할수록 의심 가는 사람이 한둘이 아니다. 도대체 범인이 누구야?!"
웨딩 위크,영화 NETFLIX ORIGINAL,2018,"우리 애, 결혼해요! 경사스러운 날을 앞둔 신랑, 신부의 아버지. 애들은 좋아 죽는데, 우린 왜 맞는 게 하나 없지? 남은 기간 일주일, 무사히 가족이 될 수 있을까?"
웨딩 링어,영화,2015,수상: 2 wins & 4 nominations.
웨딩 파티 사수 작전,영화,2016,수상: 1 win & 3 nominations.
더 비지터: 리턴즈,영화,2016,"현대에 발이 묶였던 중세 기사와 하인. 겨우 과거로 돌아갈 방법을 찾아내지만 1793년 프랑스 공포정치 시대가 웬 말이냐. 게다가 도착 즉시 후손에게 체포돼 사형 선고라니! 살아서 돌아갈 수 있으려나. 1124년이 그립다, 그리워!"
바이올린 연주자,영화,2016,수상: 1 win & 7 nominations.
레오의 방주,영화,2016,"아이 46명의 목숨을 앗아간 끔찍한 재해가 발생한 지 몇 해가 흐른 어느 날, 한 젊은이가 기묘한 구조물을 세우면서 마을에 다시금 격랑이 몰아친다."
바티칸 사제들,영화,2015,상처를 입고 병원에 입원한 한 여성이 악령에 점점 사로잡혀 가자 한 사제와 2명의 바티칸 퇴마사가 사탄에 맞서 싸운다.
언터처블,영화,1987,수상: Won 1 Oscar. Another 10 wins & 16 nominations.
아미스테드 모핀: 또 하나의 세계,영화,2017,수상: 4 wins & 2 nominations.
The Unjust,영화,2010,수상: 3 wins & 12 nominations.
소수의견,영화,2015,강제 철거로 인해 발생한 시위에서 10대 소년과 경찰관이 목숨을 잃는다. 이 사건에 배정된 신참 국선 변호사는 진실을 파헤치러 나선다.
어글리 트루스,영화,2009,수상: 3 wins & 5 nominations.
1월의 두 얼굴,영화,2014,수상: 3 nominations.
트루먼쇼,영화,1998,수상: Nominated for 3 Oscars. Another 40 wins & 65 nominations.
댄싱 마미스,영화 NETFLIX ORIGINAL,2018,수상: 31 wins & 24 nominations.
피의 나무,영화 NETFLIX ORIGINAL,2018,수상: 1 nomination.
조지아의 상인,영화 NETFLIX ORIGINAL,2018,"만물상이 잡동사니 좌판을 펼치자 사람들이 하나둘 모여든다. 현금 대신 감자로 물건값을 치르는 별난 거래 현장. 지금 이곳은, 시간조차 멈춰 선 조지아의 외딴 마을이다."
타운,영화,2010,수상: Nominated for 1 Oscar. Another 9 wins & 45 nominations.
The Tower,영화,2012,
사도,영화,2015,수상: 19 wins & 38 nominations.
13층,영화,1999,가상 세계를 즐기던 인물이 살해됐다. 살인 누명을 쓴 프로그램 개발자가 직접 게임 속으로 뛰어들면서 엄청난 사실을 맞닥뜨리는데. 차라리 몰랐으면 나았을까. 충격이란 말로는 설명할 수 없는 전복적 진실이 당신을 기다린다!
사랑에 대한 모든 것,영화,2014,수상: Won 1 Oscar. Another 24 wins & 123 nominations.
헬프,영화,2015,"1960년대의 미시시피 지역, 젊은 백인 작가가 흑인 가정부들을 인터뷰하여 그들의 애환을 책으로 펴낸다."
터미널,영화,2004,수상: 7 wins & 8 nominations.
돈의 맛,영화,2012,수상: 1 win & 5 nominations.
피너츠 송,영화,2002,수상: 1 win & 4 nominations.
공주와 개구리,영화,2012,재즈 전성기 뉴올리언스에서 아름다운 소녀 티아나는 다시 인간이 되기를 간절히 원하는 개구리 왕자와 운명적으로 만나게 된다.
바비의 백조의 호수,영화,1994,수상: Nominated for 1 Golden Globe. Another 1 win & 7 nominations.
서라운딩 게임: 흑과 백의 승부사들,영화,2018,"사각 판 위에서 흑돌, 백돌로 승부를 겨루는 것이 전부가 아니다! 바둑은 사실, 한 수 한 수 두며 인생의 의미를 찾아가는 여정이라 해도 과언이 아닌데. 미국 최초 프로기사에 도전하는 10대 유망주들을 따라가며 바둑 세계를 조명한다."
선샤인 메이커스: 환각으로 세상을 구원하라,영화,2015,수상: 1 nomination.
수상한 고객들,영화,2011,업계 최고 보험왕 배병우. 어느 날 자살방조 혐의라는 날벼락이 떨어진다. 고객의 자살을 막아라! 고위험군 고객들을 만나며 벌어지는 해프닝에 빵빵 터지는 깨알 같은 웃음!
The Stranger,영화,1946,수상: Nominated for 1 Oscar. Another 1 nomination.
도둑맞은 그 5년,영화,2013,수상: 1 nomination.
스텝 파더,영화,2009,수상: 2 nominations.
더 크리스마스,영화,2017,수상: Nominated for 1 Golden Globe. Another 2 wins & 5 nominations.
The Spy,영화,1999,"1960년대 시리아 정부에 잠입했던 이스라엘의 전설적 스파이, 엘리 코헨의 놀라운 실화를 담은 드라마 시리즈."
스폰지밥,영화,2015,수상: 1 win & 9 nominations.
크리스마스 정신,영화,2015,크리스마스를 앞두고 변호사인 케이트 조던은 여관 매각 건을 감독하러 버몬트에 갔다가 잘생겼지만 저주를 받은 유령에게 반한다.
스파이더위크가의 비밀,영화,2008,수상: 2 wins & 8 nominations.
도리화가,영화,2015,수상: 1 win.
마법사의 제자,영화,2010,수상: 1 win & 1 nomination.
소셜 네트워크,영화,2010,수상: Won 3 Oscars. Another 169 wins & 179 nominations.
늑대의 살갗 아래,영화 NETFLIX ORIGINAL,2018,수상: 1 nomination.
스켈리턴 트윈스,영화,2014,수상: 4 wins & 12 nominations.
얼굴 없는 밤,영화,2015,수상: 4 wins & 12 nominations.
자도빌 포위작전,영화 NETFLIX ORIGINAL,2016,수상: 4 wins & 4 nominations.
더 쇼트 게임,영화 NETFLIX ORIGINAL,2013,수상: 4 wins & 3 nominations.
샤이닝,영화,1980,수상: 4 wins & 7 nominations.
일곱난쟁이,영화,2014,실수로 공주와 그녀의 궁중이 100년간의 잠에 빠지게 만든 난쟁이 보보는 이들을 구하기 위해 사악한 마녀와 싸운다.
극장판 일곱 개의 대죄: 천공의 포로,영화,2018,하늘 위에 떠 있는 아름다운 천공궁. 그러나 그 아름다움 속엔 멸망의 기운이 도사리고 있다. 바로 3천 년 전에 봉인된 마신족. 흑의 6기사는 마신족의 부흥을 꿈꾸며 일을 벌이는데. 천공궁을 지키기 위해 일곱 개의 대죄가 나선다!
방자전,영화,2010,수상: Won 3 BAFTA Film Awards. Another 5 wins & 9 nominations.
예감은 틀리지 않는다,영화,2017,수상: 1 win.
에밀리 블레어의 비밀,영화,2016,악령에게 영혼을 빼앗긴 약혼녀를 어떻게든 구하려는 남자. 오랫동안 알고 지낸 퇴마 신부에게 도움을 청한다.
의형제,영화,2010,수상: 3 wins & 5 nominations.
월터의 상상은 현실이 된다,영화,2013,수상: 5 wins & 18 nominations.
시크릿,영화,2006,"그동안 인류의 1%만 간직해 온 비밀이 풀렸다! 플라톤, 아인슈타인과 같은 위인의 성공에 결정적 역할을 했다는 '끌어당김의 법칙'. 그 속에 숨겨진 위대한 비밀은 무엇인가!"
스콜피온 킹,영화,2002,수상: 2 wins & 3 nominations.
스코어,영화,2001,수상: 1 win & 1 nomination.
주홍글씨,영화,2004,수상: 1 win & 10 nominations.
산타 클로스,영화,1994,수상: 2 wins & 8 nominations.
라스트 세인트,영화,2017,수상: 1 win & 2 nominations.
상의원,영화,2014,수상: 4 wins & 6 nominations.
더 록,영화,1996,수상: Nominated for 1 Oscar. Another 9 wins & 8 nominations.
리추얼: 숲속에 있다,영화 NETFLIX ORIGINAL,2018,수상: 4 wins & 3 nominations.
리디큘러스 6,영화 NETFLIX ORIGINAL,2015,"무법자 아버지가 납치되자 ""백검"" 토미는 아버지를 구하기 위해 존재도 몰랐던 다른 다섯 명의 이복형제들과 함께 서부 여정을 시작한다."
레지스탕스 뱅커,영화 NETFLIX ORIGINAL,2018,수상: 7 wins & 9 nominations.
저수지 게임,영화,2017,"이명박 전 대통령의 검은돈을 추적하는 기자. '비자금 투어'에 올라 까도 까도 끝없이 나오는 수조 원대 돈의 행방을 쫓는다. 그리고 그 높으신 분의 꼬리, 드디어 밟았다!"
남아있는 나날,영화,1993,수상: Nominated for 8 Oscars. Another 16 wins & 32 nominations.
더 리허설,영화,2016,수상: 8 nominations.
2017 크로스핏 게임: 세계 최고의 피트니스 강자,영화,2017,"세계 최고의 피트니스 강자를 가리는 리복 크로스핏 게임. 인간의 한계를 뛰어넘은 2017년 출전자들의 치열한 경쟁 현장으로 당신을 초대한다. 불가능을 가능으로 이끈 인내와 끈기, 그리고 도핑에 대해 세계 최강자들의 생각을 들어보자."
붉은 데스티니,영화,2016,대학 진학을 앞둔 시엘로는 인터넷을 통해 나이 차가 나는 '오빠'와 알게 된다. 혼자만의 사랑에 빠진 소녀는 집착과 거식증에 사로잡힌다. 실화를 바탕으로 한 영화.
리크루트,영화,2003,수상: 2 nominations.
재회,영화,2016,수상: 4 wins & 2 nominations.
된장,영화,2010,탈옥 5년 만에 검거된 희대의 살인범. 그가 잡힌 것은 다름 아닌 된장찌개 때문이라는데. 특종의 냄새를 맡고 취재에 뛰어든 방송국 PD. 경찰보다 더 강력한 된장의 비밀은?
더 리얼 미야기,영화,2015,수상: 5 wins.
뭄바이의 쥐사냥꾼,영화,2010,거대 경제의 부산물로 쥐가 폭발적으로 늘어난 인도 뭄바이. 인간과 쥐의 골치 아픈 공존의 현장을 살펴본다.
레이드2,영화,2014,수상: 5 wins & 10 nominations.
퀴즈왕,영화,2010,133억 상금이 걸린 퀴즈쇼의 마지막 정답만 안다? 천재도 못 푼다는 30번 문제의 답을 손에 쥔 사람들. 남은 29개만 맞히면 내 돈이네? 평균 이하 브레인들의 퀴즈왕 도전기.
퀵 앤 데드,영화,1995,수상: 1 nomination.
더 퍼지,영화,2014,수상: 3 wins & 6 nominations.
꼭두각시,영화,2013,정신과 의사인 지훈에게 친구의 애인이 찾아와 귀신의 환영에 시달린다고 호소한다. 지훈은 최면술로 그녀의 과거를 엿보고 소스라치게 놀란다.
프로포즈,영화,2009,수상: Nominated for 1 Golden Globe. Another 7 wins & 19 nominations.
프라이즈 위너,영화,2005,수상: 1 win & 1 nomination.
더 매직: 리틀 톰과 도둑공주,영화,2014,수상: 2 nominations.
공주와 개구리,영화,2009,수상: Nominated for 3 Oscars. Another 11 wins & 38 nominations.
크리스마스 스위치,영화 NETFLIX ORIGINAL,2018,"크리스마스 시즌, 결혼을 앞둔 영국 귀족 여성이 자신과 똑 닮은 미국인 제빵사를 만난다. 마법 덕분에 서로 신분을 바꾼 두 사람. 그들에게 놀라운 사랑이 찾아온다."
프린세스 다이어리 2,영화,2004,수상: 1 win & 2 nominations.
프린세스 다이어리,영화,2001,수상: 2 wins & 11 nominations.
검은 사제들,영화,2015,수상: 10 wins & 10 nominations.
그때 그 사람들,영화,2005,수상: 2 wins & 1 nomination.
악령 체험,영화,2014,수상: 1 win.
마륜,영화,2016,자유로운 영혼의 젊은 여성이 남자친구와 함께 유람선을 타고 보물찾기에 나선다. 그러나 이내 끔찍한 상황이 전개되면서 게임은 생존 투쟁으로 변한다.
폴카 킹,영화 NETFLIX ORIGINAL,2018,미국을 접수할 테다! 폴란드 태생 밴드 리더 얀 레반. 폴카로 성공하겠다는 그의 야무진 꿈이 피라미드 사기 사건으로 변신한 사연은? 이 황당무계한 코미디는 실화다!
폴라 익스프레스,영화,2004,수상: Nominated for 3 Oscars. Another 5 wins & 23 nominations.
시인의사랑,영화,2017,수상: 2 wins.
써스펙트,영화,2001,수상: 1 win & 6 nominations.
허당 해적단,영화,2012,수상: Nominated for 1 Oscar. Another 19 nominations.
The Piper,영화,2015,수상: 1 nomination.
핑크색 거울,영화,2003,이 볼리우드 스타일의 단편 영화에서 인도인 여장남자 2명과 서구화된 청소년 1명은 섹시한 훈남을 유혹하려 노력한다.
피아니스트,영화,2002,수상: Won 3 Oscars. Another 54 wins & 73 nominations.
완벽한 독재,영화,2014,수상: 1 win & 10 nominations.
그날은 완벽했다,영화,2018,"1998년 7월 12일, 프랑스에서 벌어진 짜릿한 사건을 아는가. 부진의 늪에서 허우적대던 프랑스 축구가 극적인 부활을 알린 날. 자국에서 열린 월드컵에서 사상 첫 금빛 트로피를 치켜든 날. 그날의 희열을 다시 함께 만끽해보자."
최강 로맨스,영화,2007,수상: 1 nomination.
페어런트 트랩,영화,1998,수상: 2 wins & 7 nominations.
페인티드 베일,영화,2006,수상: Won 1 Golden Globe. Another 10 wins & 13 nominations.
패시파이어,영화,2005,수상: 1 win & 10 nominations.
아웃사이더,영화,1983,수상: 1 win & 3 nominations.
아웃사이더,영화 NETFLIX ORIGINAL,2017,"패전국 일본의 감옥에서도, 피투성이 전장에서도, 그는 외톨이였다. 단 하나의 충성, 단 하나의 의리, 단 하나의 사랑을 간직한 이방인. 그의 외로운 싸움이 시작된다."
루저의 역습,영화,2017,학교 최고 서열의 여학생한테 계속 괴롭힘을 당한 두 절친. 끝내 휴전에 실패하자 같은 처지의 학생들을 그러모아 아예 교내 신분제를 전복할 반란을 꾀한다.
아더 우먼,영화,2014,수상: 3 wins & 5 nominations.
바람의 저편,영화 NETFLIX ORIGINAL,2018,수상: 6 wins & 8 nominations.
디 아더 원: 밥 위어의 길고 이상한 여행,영화 NETFLIX ORIGINAL,2015,수상: 1 win.
스탠바이 캅,영화,2010,수상: 3 wins & 15 nominations.
열린 문틈으로,영화 NETFLIX ORIGINAL,2018,시골로 이사한 어머니와 아들. 아직도 슬픔에 젖어 있는 그들에게 첫날부터 이상한 일들이 시작된다. 낯선 소음과 누군가의 흔적. 이 집에서 무슨 일인가 벌어지고 있다!
더 원,영화,2001,수상: 4 nominations.
The Odd Life of Timothy Green,영화,2012,수상: 1 win & 8 nominations.
너티 프로페서,영화,1996,수상: Won 1 Oscar. Another 9 wins & 12 nominations.
노벰버 맨,영화,2014,은퇴한 전직 CIA 요원이 중요한 목격자를 보호하기 위해 나서지만 오래된 친구가 가장 위험한 적이 될 수 있다는 사실을 깨닫게 된다.
노트북,영화,2004,수상: 12 wins & 10 nominations.
크리스마스 악몽,영화,1993,할로윈 타운의 빼빼 마른 왕 잭 스켈링턴은 산타클로스를 납치해 아이들에게 엽기적인 선물을 배달하려는 계략을 꾸민다.
멧돼지의 밤,영화,2016,수상: 1 win.
밤이 온다,영화 NETFLIX ORIGINAL,2018,수상: 1 nomination.
가브리엘의 그림자,영화,2016,수상: 13 wins & 16 nominations.
넥스트제네레이션패트레이버5,영화,2015,러시아 외무 장관이 저격당한 뒤 신임 장관의 경호원으로 발탁된 카샤는 저격범의 정체가 밝혀지자 불안에 떨기 시작한다.
뉴 가이,영화,2002,수상: 1 nomination.
네트,영화,1995,수상: 2 wins & 1 nomination.
아프리칸 솔져,영화,1944,수상: 1 win.
"머펫, 뉴욕을 점령하다",영화,1984,수상: Nominated for 1 Oscar. Another 2 nominations.
머펫 대소동,영화,2011,수상: Won 1 Oscar. Another 16 wins & 43 nominations.
미이라 3: 황제의 무덤,영화,2008,수상: 2 wins & 6 nominations.
미이라 2,영화,2001,수상: 6 wins & 16 nominations.
미이라,영화,1999,수상: Nominated for 1 Oscar. Another 5 wins & 20 nominations.
모텔라이프,영화,2012,수상: 3 wins & 3 nominations.
"과학, 지식 릴레이",영화,2018,"인간은 자신을 둘러싼 거대한 세계를 얼마나 이해하고 있는가. 물리학에서 심리학까지, 다양한 분야의 과학자 9명이 인류의 가장 근원적인 물음을 던진다. 이 세상은 무엇으로 이루어져 있는가, 의식이란 무엇인가, 생명은 어디서 왔는가."
미국에서 가장 미움받는 여인,영화 NETFLIX ORIGINAL,2017,'미국인이 가장 증오하는 여성' 매덜린 머레이 오헤어의 미스터리를 풀어간다. 노골적인 무신론자 오헤어의 대법원 승소 판결부터 매덜린 일가의 납치 사건까지 파헤친다.
매일 살해당하는 여자,영화 NETFLIX ORIGINAL,2018,수상: 1 nomination.
The Monster of Mangatiti,영화,2015,1980년대 외딴 농장에서 포악한 약탈자에게 포로로 잡힌 불굴의 십대의 이야기를 드라마로 구성한 충격 실화
몽키킹2,영화,2016,삼장법사 덕분에 오행산에서 벗어난 손오공. 삼장법사와 함께 불경을 찾으러 험난한 여행길에 오른다.
실종,영화,2003,수상: 2 wins & 8 nominations.
《마이어로위츠 이야기》,영화 NETFLIX ORIGINAL,2017,수상: 4 wins & 7 nominations.
멤피스 벨,영화,1944,수상: 3 wins.
물의 기억,영화,2015,수상: 1 win & 5 nominations.
메이즈 러너,영화,2014,"알 수 없는 곳에서, 기억을 잃은 채 무리 지어 살아가는 소년들. 그들이 어디서 온 누군지, 여기는 어딘지 아무도 알지 못한다. 단 확실한 건, 이곳에서 탈출하려면 밤마다 괴성이 들리는 거대한 미로를 통과해야 한다는 것!"
The Maus,영화,2017,수상: 2 wins & 5 nominations.
매트릭스 3 레볼루션,영화,2003,수상: 4 wins & 33 nominations.
매트릭스 2 - 리로디드,영화,2003,수상: 8 wins & 33 nominations.
매트릭스,영화,1999,수상: Won 4 Oscars. Another 37 wins & 50 nominations.
마스터 오브 디스가이즈,영화,2002,수상: 1 win & 6 nominations.
더 마스크 유 리브 인,영화,2015,수상: 1 win.
마스 제너레이션,영화 NETFLIX ORIGINAL,2017,수상: 2 wins.
더 맨션,영화,2017,수상: 2 nominations.
벽 속의 남자,영화,2015,수상: 1 win & 5 nominations.
미래에서 온남자,영화,2011,수상: 2 wins & 14 nominations.
The Man from Nowhere,영화,2010,수상: 15 wins & 17 nominations.
폴카 킹의 인생 반전,영화,2009,폴란드계 무명 가수에서 폴카 음악의 왕으로 등극해 특유의 카리스마와 넉살로 수많은 팬을 거느렸던 얀 레반. 이제는 희대의 사기꾼으로 기억되는 그의 추락을 조명했다.
목요일이었던 남자,영화,2016,신앙에 회의를 느끼던 신부가 고해성사로 만난 여인의 유혹에 넘어간다. 위기에 몰린 상황에서 교황을 만나고자 위험한 작전에 발을 담그는 신부. 작전을 수행하던 중 무정부주의자들 사이에서 문제의 여인과 다시 마주치게 되는데.
찰스 디킨스의 비밀 서재,영화,2017,수상: 1 win & 8 nominations.
식단을 뒤집다: 저탄고지 다이어트,영화,2017,수상: 2 wins.
심사관 2,영화,1993,"천상 세계에서 말썽을 일으켰다가 동물로 변할 처지에 놓인 신. 지상으로 내려가 3일 안에 3명의 인간을 교화하면 이 무시무시한 벌을 면할 수 있다는데. 거지, 악당, 매춘부를 새 사람으로 만드는 일이 그리 쉽지는 않을 듯."
럭키 원,영화,2012,수상: 5 wins & 7 nominations.
러블리 본즈,영화,2009,수상: Nominated for 1 Oscar. Another 10 wins & 45 nominations.
잃어버린 형제,영화,2017,수상: 1 win & 5 nominations.
반지의 제왕: 두 개의 탑,영화,2002,수상: Won 2 Oscars. Another 123 wins & 137 nominations.
반지의 제왕: 왕의 귀환,영화,2003,수상: Won 11 Oscars. Another 198 wins & 122 nominations.
반지의 제왕: 반지 원정대,영화,2001,수상: Won 4 Oscars. Another 115 wins & 124 nominations.
마음이 머무는 곳으로,영화,1998,수상: Won 1 Oscar. Another 2 wins & 3 nominations.
론 레인저,영화,2013,수상: Nominated for 2 Oscars. Another 4 wins & 17 nominations.
더 랍스터,영화,2015,수상: Nominated for 1 Oscar. Another 33 wins & 74 nominations.
꾸러기 클럽,영화,1994,수상: 2 wins.
인어공주,영화,1989,수상: Won 2 Oscars. Another 10 wins & 8 nominations.
꼬마 유령,영화,2013,수상: 1 win.
라이온 킹,영화,1994,수상: Won 2 Oscars. Another 35 wins & 34 nominations.
범고래 등대,영화 NETFLIX ORIGINAL,2016,자폐증 아들을 둔 롤라는 한 가닥 희망을 품고 세상 끝 파타고니아로 찾아간다. 동물보호관 베토와 범고래들이 아이의 닫힌 마음을 과연 열어줄 수 있을까?
더레터,영화,2012,수상: Nominated for 7 Oscars. Another 1 win & 2 nominations.
화이트테일 디어 헌터,영화 NETFLIX ORIGINAL,2018,사냥 방송 스타 벅 퍼거슨이 열두 살 아들과 숲으로 떠난다. 사냥도 하고 캠핑도 하며 돈독한 정을 쌓아보겠다고. 하지만 그게 마음대로 되면 부자지간이 아니지!
사랑의 물리학,영화 NETFLIX ORIGINAL,2018,수상: 1 win & 1 nomination.
대기만性(성),영화,2016,수상: 2 wins.
라스트 모히칸,영화,1992,수상: Won 1 Oscar. Another 6 wins & 17 nominations.
로빈 훗,영화,2013,"악랄한 노팅엄의 술수로 아버지가 죽자, 전설적인 명궁 로빈 후드는 복수를 위해 마을에서 쫓겨난 자들과 합류한다."
라스트 송,영화,2010,수상: 4 wins & 10 nominations.
라스트 샤먼,영화,2016,우울증 진단을 받은 한 젊은이가 자살을 피하기 위한 최후의 수단으로 고대의 환각 의식을 치르기 위해 아마존으로 떠난다.
라스트 사무라이,영화,2003,수상: Nominated for 4 Oscars. Another 21 wins & 62 nominations.
더 라스트 맨 온 더 문,영화,2014,수상: 5 wins & 1 nomination.
버디와 함께 해피 엔딩,영화 NETFLIX ORIGINAL,2019,"은퇴한 매니저 앨. 그는 요양원에서 왕년의 코미디 유망주 버디를 만난다. 그의 여전한 재능을 확인하고 복귀를 추진하는 앨. 50년 만의 컴백 쇼, 그 화려한 막이 오른다."
마지막  강도사건,영화,2016,눈알에 집착하는 광적인 살인마와 같은 건물에 갇히게 되면서 전문 절도범들의 은행 강도 사건은 피로 낭자한 사태가 되어버린다.
변함없는 자들의 마을,영화 NETFLIX ORIGINAL,2018,"일과 집, 변함없는 삶에 지친 앤더스. 그는 이혼과 은퇴를 선택하며 인생의 굴레를 벗어던진다. 조각난 자신을 되찾고, 행복해지기 위해. 낯설고 서툰 여정을 시작한다."
카드의 왕국,영화,2012,"고전 연극을 각색한 이 판타지 영화에서, 파시스트 통치 하의 섬에 도착한 황태자에게 영감을 받은 이곳 여성들은 반란을 일으킨다."
키싱 부스,영화 NETFLIX ORIGINAL,2018,수상: 1 win & 1 nomination.
킹덤,영화,2007,수상: 5 nominations.
킹스 스피치,영화,2010,수상: Won 4 Oscars. Another 106 wins & 204 nominations.
킹 오브 파이터,영화,2010,쿠사나기 쿄와 라이벌 야가미 이오리 등 일본의 인기 비디오 게임 ‘더 킹 오브 파이터즈’의 인기 캐릭터들이 등장하는 박진감 넘치는 영화이다.
The King and the Clown,영화,2005,수상: 11 wins & 14 nominations.
왕과 나,영화,1999,수상: Won 5 Oscars. Another 5 wins & 12 nominations.
"카벨레이라, 신성한 무법자",영화 NETFLIX ORIGINAL,2017,수상: 2 wins & 6 nominations.
포토저널리스트,영화,2016,수상: 4 wins & 1 nomination.
비취명주,영화,2010,"정략결혼을 하러 가는 버릇없는 공주를 호위하던 장군은 공주와 사랑에 빠지지만, 이후 노상강도 떼의 공격을 받아 납치되고 만다."
MI5 X파일: 잭 킹 작전,영화,2015,"제2차 세계대전 당시, MI5 요원이 파시스트 조직에 침투한다. 나치 동조자들이 훔쳐간 문서를 가로채기 위해. 영국의 1급 기밀이었던 이 작전, 이제 세상에 낱낱이 공개된다."
아이보리 게임: 상아 전쟁,영화 NETFLIX ORIGINAL,2016,수상: 8 wins & 7 nominations.
비밀스러운 초대,영화,2015,수상: 4 wins & 14 nominations.
세 번째 손님,영화,2016,수상: 2 wins & 2 nominations.
인비저블 가디언,영화,2017,수상: 1 win.
이제 그만 이혼해,영화,2016,수상: 1 win & 2 nominations.
두 개의 표적,영화,2016,어릴 때부터 나쁜 짓을 일삼아 온 건즈. 점차 폭력성을 더해가는 TIC 갱단에 몸담게 되지만 갱단은 곧 사방에서 위협을 받는 처지가 된다.
인사이더,영화,1999,수상: Nominated for 7 Oscars. Another 23 wins & 50 nominations.
인크레더블,영화,2004,수상: Won 2 Oscars. Another 65 wins & 56 nominations.
자체발광 제시카 제임스,영화 NETFLIX ORIGINAL,2017,뉴욕시에서 극작가로 일하는 주인공 제시카. 끔찍한 이별을 겪은 후 의욕 없이 지나가던 그녀의 일상은 앱 디자이너 이혼남을 만나면서 바뀌기 시작한다.
인크레더블 헐크,영화,2008,수상: 1 win & 8 nominations.
이민자,영화,2013,수상: 15 wins & 29 nominations.
일루셔니스트,영화,2006,수상: Nominated for 1 Oscar. Another 10 wins & 10 nominations.
노래로 쏘아올린 기적,영화,2015,수상: 1 win & 5 nominations.
파이터: 부상의 비즈니스,영화,2016,종합격투기(MMA)의 역사를 비롯해 선수들의 혹독한 고난과 성공을 자세히 담아낸 다큐멘터리. 전설적인 선수들과 신예 선수들이 함께 출연한다.
헝거게임: 캣칭 파이어,영화,2013,수상: Nominated for 1 Golden Globe. Another 22 wins & 67 nominations.
헝거게임: 판엠의 불꽃,영화,2012,수상: Nominated for 1 Golden Globe. Another 33 wins & 47 nominations.
하우스 버니,영화,2008,수상: 2 nominations.
핫칙,영화,2002,수상: 4 nominations.
호스트,영화,2006,수상: 1 win & 2 nominations.
목숨,영화,2014,"죽음을 앞둔 사람, 그들을 지켜보며 이별을 준비하는 사람. 호스피스 병동에서 1년간 담은 생생한 기록은 우리에게 하나의 질문을 던진다. 후회 없이 살고 있나요?"
매직 캘린더: 크리스마스를 부탁해,영화 NETFLIX ORIGINAL,2018,"재능은 있지만, 풀리는 일은 없는 사진작가. 크리스마스를 앞둔 그녀에게 선물이 도착한다. 미래를 보여주는 신기한 달력. 그녀의 지루한 일상에 설레는 내일이 찾아온다."
올가미,영화,1997,수상: 1 win & 3 nominations.
은하수를 여행하는 히치하이커를 위한 안내서,영화,2005,수상: 1 win & 10 nominations.
히말라야,영화,2015,수상: 4 wins & 6 nominations.
악의 영웅들,영화,2015,수상: 1 win & 1 nomination.
헬프,영화,2011,수상: Won 1 Oscar. Another 79 wins & 119 nominations.
해프닝,영화,2008,수상: 3 wins & 10 nominations.
행오버 3,영화,2013,수상: 2 wins & 7 nominations.
행오버 2,영화,2011,수상: 5 wins & 18 nominations.
